id	text	tags	identical
1001	Amazon Prime memberships are getting more expensive for those customers who want the flexibility to pay for the speedy shipping and media streaming program on a monthly basis.The company is announcing on Friday that the Amazon Prime monthly fee is increasing from $10.99 to $12.99 in the U.S., an increase of 18 percent. The new price works out to nearly $156 a year.The increase comes less than two years after Amazon first introduced the monthly payment option as a way to attract new Prime members who either couldn’t afford the annual membership of $99 (which is not increasing), or didn’t want to commit to using the service continuously.As I wrote this summer:The monthly payment option was seen as a way to attract lower-income customers — the type of shopper who might otherwise prefer, say, Walmart — who could not cough up $99 at one time. Since then, Prime membership growth has been the strongest among households making less than $50,000 annually, an R.W. Baird study found.Prime is the engine at the center of the Amazon commerce machine — Prime members buy from Amazon more frequently than non-Prime members and also spend more, hence why Amazon introduced the monthly option to lure new members. So, if the company is raising the fee, you can bet that it discovered that the current $10.99 was just not sustainable.“Prime provides an unparalleled combination of shipping, shopping and entertainment benefits, and we continue to invest in making Prime even more valuable for our members,” the company said in a statement. “The number of items eligible for unlimited Free Two-Day Shipping increased in recent years from 20 million to more than 100 million items. We have expanded Prime Free Same-Day and Prime Free One-Day delivery to more than 8,000 cities and towns. We also continue to introduce new, popular and award-winning Prime Originals ... Members also enjoy a growing list of unique benefits like Prime Music, Prime Reading, exclusive products and much more.”The price of Amazon’s monthly Prime program for students, which just launched this past fall, is also jumping 18 percent — from $5.49 to $6.49.At the same time, the cost of a monthly Prime Video membership, which doesn’t include shipping benefits, will remain at $8.99; the monthly Prime membership option for customers on government assistance will also remain unchanged at $5.99.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1002	(Reuters) - Amazon.com Inc (AMZN.O) raised the monthly fee for the U.S. version of its fast-shipping and video-streaming service Amazon Prime by $2 on Friday, making the case for subscribers to upgrade to an annual plan.It was the first increase of Prime fees in almost four years and comes at the end of another bullish year and holiday season for Amazon’s dominant online shopping platform.The move also follows a rise in fees by video streaming rival Netflix Inc (NFLX.O) in October.Amazon increased the fee for its monthly plan to $12.99 from $10.99, while maintaining the annual fee at $99. It also hiked the monthly subscription fee for college students to $6.49 from $5.49.“That’s good value, over time they’ve raised the price. I don’t think they will lose many members,” Tigress Financial Partners analyst Ivan Feinseth said.“Those who use it the most get the most value and won’t mind the higher price and those who don’t use it are not the best customers, so even if they drop off it is not a big loss to Amazon,” he said.As of September, Amazon had about 90 million Prime members in the United States, according to research firm Statista. The company itself does not disclose the number. bit.ly/2Dwhqjw.Netflix has 52.77 million subscribers in the United States and its global tally is 109 million.Existing monthly Prime and Prime Student members will pay the new price for renewals after Feb. 18, Amazon said on its website.Amazon kept monthly subscription fee for its standalone Prime Video membership, which gives members access to original content premium movies and TV shows, unchanged at $8.99. Netflix’s basic subscription plan fee is $7.99 per month.Amazon, which along with Netflix faces competition from Hulu and Alphabet Inc’s (GOOGL.O) YouTube, has been spending heavily to make original shows.Only Prime has the added dimension of offering subscribers discounts and other benefits from its shopping platform, which help the company lure more buyers.The company shipped over 5 billion items worldwide via the subscription service in 2017 and revenue from subscription fees that include Prime jumped 59 percent to $2.4 billion in the quarter ended Sept.30. The company reports its fourth quarter on Feb. 1.“We only expect to see 2 percent churn from this price increase with many customers moving to the yearly subscription which is the ‘golden goose’ for Bezos & Co as once on the annual plan customers rarely churn,” GBH Insights analyst Daniel Ives said.Amazon’s shares rose 0.5 percent to $1,300 on Friday.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1003	On Friday, Amazon surprised customers by increasing the price of Amazon Prime for some members.Prime subscribers who pay on a monthly basis will now be charged $12.99, up from $10.99. Monthly Prime Student subscriptions, available to college students, were also subject to a price hike, rising from $5.49 to $6.49 per month.Prices for annual Prime memberships remain unchanged, at $99 per year for regular customers, and $49 per year for students. All Prime members receive free two-day shipping on most Amazon orders, as well as access to unlimited streaming of Amazon video and music content.Obviously, the annual membership is a much better deal for anyone maintaining a Prime subscription over the course of 12 months or more. The total cost of a by-the-month Amazon Prime membership now runs just under $156 for a year, up from around $132.The new price hikes have likely been instituted to nudge monthly Prime members into becoming annual members. Prime members tend to be wealthy, and tend to spend significantly more at Amazon than non-Prime members. But the option of monthly memberships, introduced in 2016, offered customers the possibility of taking advantage of Amazon Prime for only a brief period: People could sign up for a single month—perhaps during the winter holiday shopping season—simply to get free shipping on multiple orders. Amazon could easily be losing money on such Prime customers, assuming they remembered to cancel subscriptions at the end of the month.By jacking up monthly Prime prices, Amazon will at least be extracting more money from these customers—thereby helping the e-retail giant recover some of its shipping costs.Amazon’s monthly Prime price hikes could also help convince some customers that it’s more worthwhile to become annual Prime members. And that’s one of Amazon’s ultimate goals: It wants as many customers to pay for Amazon Prime upfront and in full, and it wants them to be loyal Amazon shoppers year in, year out.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1004	Amazon hasn’t touched the price of an annual Prime membership in the US since raising it to $99 from $79 in March 2014. That $99 fee has stayed steady even as Prime’s offerings have expanded to include one-hour delivery with Prime Now, photo storage on Prime photos, and plenty more streaming content on Prime music and Prime video.But monthly subscribers are a different matter. Since introducing a month-to-month Prime subscription in April 2016, Amazon has asked those customers to pay a little more for the flexibility: $10.99 a month, or $131.88 a year, a 33% premium over the annual fee. Today (Jan. 19), Amazon said that price is going up. A monthly Prime membership will increase to $12.99, or $155.88 a year, 57% more than the cost of a yearly subscription.The monthly Prime plan is seen as a way for Amazon to appeal to lower income customers, who might not be able to pay $99 at once. (Amazon also offers a $5.99 a month plan to US residents receiving government assistance.) After Amazon introduced the monthly payment option, Prime subscriptions reportedly grew fastest among households earning less than $50,000 a year, according to a study from investment firm R.W. Baird. That means the $2-a-month price increase is likely to hit those subscribers even harder.According to data provided to Quartz by Consumer Intelligence Research Partners (CIRP), a firm that closely tracks Amazon, 31% of US Prime members were paying monthly as of December 2017. That was up from closer to 25% in the three previous quarters.“The problem for Amazon is, at least in the US, Amazon has captured most of the customers that would pay $99 for the annual membership,” Michael Levin, co-founder of CIRP, said in an email. “Most (61%) of the consumers that joined Amazon Prime in 2017 pay monthly, so are at greater risk of leaving.”Amazon doesn’t disclose much useful information about Prime, but third-party analysis has found that the typical Prime customer spends $1,300 a year on Amazon, compared to about $700 a year for non-Prime members. CIRP estimates that the annual Prime fee covers the cost of shipping but that Amazon bears the cost of other Prime extras, like music and video licensing, and relies on greater spending from Prime customers to make the investment pay off.As of the third quarter of 2017, CIRP estimated that 90 million people in the US were Amazon Prime members.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1005	Amazon Prime is getting a price hike.The tech giant on Friday announced that it has raised the monthly Amazon Prime membership rate from $10.99 per month to $12.99 per month, an increase of 18%. Amazon was quick to note, however, that the $99 annual membership fee for Amazon Prime will remain the same. Students who were paying $5.49 per month for access to Prime will now be charged $6.49.Amazon Prime is one of the company’s most important offerings. Subscribers get access to free two-day shipping on millions of products, as well as discounted rates on next-day shipping. Amazon Prime subscriptions also include access to the company’s suite of streaming services, including Prime Video, Prime Music, and more.Traditionally, Prime has been an annual subscription, but in 2016, Amazon unveiled its monthly plan to attract more members to the program. The move allowed those who couldn’t afford Prime to take advantage of the benefits, and also offered some flexibility in deciding how and when to use it.Amazon doesn’t break out its Prime membership by annual and monthly members, so it’s unknown how many people will be affected by the change. If nothing else, it could provoke some monthly payers to consider an annual membership. By signing up for Prime’s annual plan, users pay just $99. The new monthly rate will cost members about $156 for the year.Amazon did not immediately respond to a Fortune request for comment on the move.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1006	Those of you paying for Prime month to month will see a higher fee of $12.99. Annual fees will remain the same.If you pay for Amazon Prime membership on a monthly basis, get ready to pay a little more.The online retailer on Friday said it raised the monthly fee for Prime to $12.99 from $10.99, up 18 percent and effective immediately. The monthly student rate increased to $6.49 from $5.49. Customers using the monthly option will start paying the higher price on their first payment after Feb. 18.The good news is that if you pay for Prime annually, whether the $99 full price or $49 student rate, your costs won't increase. The monthly option for customers using government aid didn't change, either.Customers of the Prime service, now estimated to reach 90 million US households,  routinely spend about twice as much on Amazon as non-Prime shoppers. With Prime serving as Amazon's engine for retail sales and customer loyalty, any price hikes come with risk of a blowback from consumers. But, with Amazon's shipping costs constantly increasing, the e-commerce giant also needs to balance customer satisfaction against its own bottom line.An Amazon spokeswoman said the increase resulted from Prime members' "tremendous appetite" for Prime benefits including unlimited two-day shipping, as well as Amazon's continued investment in Prime perks.Friday's price increase is the first one Amazon has instituted since it created the monthly payment option in April 2016. Monthly payments were already more expensive for customers than the annual price, amounting to $131.88 a year. The total yearly cost will now be $155.88.Since introducing Prime in 2005, Amazon has raised the annual membership fee just once, to $99 from $79 in 2014. The annual membership continues to be the more popular payment option, partly because it's been around much longer than the monthly option.Netflix, which offers a rival streaming video service, in October raised subscription prices for most US viewers, marking its first US rate increase in two years."This isn't really a surprise," Forrester analyst Brendan Witcher said of the Amazon price increase, noting that retailers routinely introduce new services and then tweak the pricing.He added that the change could result in more people switching to an annual membership and perhaps slower growth for Prime in 2018. Amazon's spokeswoman said the company is "indifferent" to whether people pay annually or monthly.Amazon in recent years has seen strong growth in Prime sign-ups, though the company still doesn't disclose specific figures on Prime memberships. Amazon said in January that "more new paid members joined Prime worldwide this year than any previous year."Witcher said he doesn't see Amazon raising the $99 annual fee, which would push the price above the psychologically significant $100 mark."The $99 fee seems to work for Amazon right now," he said, "and I expect them to hold that line as long as it brings customers into the service."The Smartest Stuff: Innovators are thinking up new ways to make you, and the things around you, smarter.'Alexa, be more human': Inside Amazon's effort to make its voice assistant smarter, chattier and more like you.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1007	Get ready to pay more for your Amazon Prime monthly membership, because the company is  raising its prices by nearly 20%. According to Recode, the company is announcing that it will raise the price on monthly Amazon Prime fees from $10.99 to $12.99 in the U.S., or almost $156 a year, an increase of 18%. Amazon’s student Prime membership is also jumping 18%—from $5.49 to $6.49. The changes go into effect today for new customers, while existing customers will see the increase on their February bill.So if you want to make the most of Amazon’s free two-day shipping, Amazon Video (minus One Mississippi, or course), Amazon Music, or get a discount at Whole Foods, you’re going to have to fork over more of your paycheck each month to Jeff Bezos, who is already the richest person in the world.The company is mostly likely increasing the price of its monthly Prime membership to make signing up for Prime’s annual subscription—which is still priced at $99 (or $49 for students)—look like a much better deal. The annual subscription gives Amazon a more guaranteed revenue stream, and that fancy new second headquarters isn’t going to pay for itself	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1008	When a company like Amazon raises the prices for its service and nobody cares, CNBC's Jim Cramer sees a clear next move."When you see something like that, it's about as clear a buy signal as you are ever, ever, ever going to get," the "Mad Money" host said on Friday after Amazon upped the price of its monthly Prime membership rate by 18 percent.The price boost — from $10.99 to $12.99 for full-paying members — will total $156 a year, a "smart" move considering Amazon's yearly membership rate of $99 will remain the same, Cramer said."It's basically a tax on people who only pay month-to-month," he said.Better yet, Cramer expected no resistance "whatsoever" to the price increase thanks to the quality and value that Amazon's Prime service provides.I bet most people don't even notice the price hike, he said. "That's why Amazon remains a go-to name for anyone who needs a high-growth stock to round out their portfolio."The same goes for Netflix, Cramer argued. Nobody cared or resisted when the streaming giant raised the price of its 4K plan, which offers higher quality content, to $13.99 a month."Given that I pay $24 for two seats in a movie theater — $24 for a couple of maybe lousy hours of entertainment, pre-popcorn-and-candy, by the way — I'm thrilled to shell out a little more than just half that to binge on quality homegrown programming ... for a whole month," Cramer said.Customers of Costco, which boasts some of the biggest bargains on the market, also tend to overlook when the big-box retailer raises the price of its membership cards, Cramer noted.Apple's cloud service revenues also fall into this category. If privately-held music app Spotify ever comes public, its subscription-based service likely will, too, he said.The next time you get hit with a price increase and it doesn't bother you one bit, you need to pay up for the stock of that company in question, maybe even the next day, the "Mad Money" host concluded. "In every instance I just mentioned ... it's been worth it."	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
1009	If you subscribe to Amazon Prime through their monthly plan today may be the day to look at switching over to a yearly subscriptions. Starting today Amazon Prime members who pay monthly for the service will see their payments jump from $10.99 a month to 12.99 a month. ($155.88 a year) If you pay for an early annual membership the cost will still be just $99 a year a $56.88 savings.With Amazon Prime, you get the 2-day free shipping on orders sold by Amazon but there is a lot more that comes with the membership. Subscribers get access to Amazon Prime Video with a growing list of movies and TV shows and now NFL Thursday Night Football. Prime offers exclusive access to deals on Amazon that non-members do not get. You can also get access to over a thousand top Kindle books for free with Prime and early access to new books every month.It does not stop their Prime members also get access to unlimited free photos. Love music? Well with Prime you get access to a collection of music for free as part of your Amazon Prime membership.Amazon did not say what pushed them to change the monthly cost of Prime but it seems clear that they would prefer you to subscribe to the yearly membership.	podobne	1001,1002,1003,1004,1005,1006,1007,1008,1009
2001	The giant black hole at the center of a distant galaxy has been spotted taking in gas and letting out two mighty "burps" of high-energy particles, lending support to the theory that such galactic cores go through cycles of messy activity.Researchers presented images of the belching black hole today (Jan. 11) at the American Astronomical Society's winter meeting in National Harbor, Maryland, showing lingering evidence of two burps in a row."Black holes are voracious eaters, but it also turns out they don't have very good table manners," Julie Comerford, an astronomer at the University of Colorado Boulder, said during a news conference at the event today. "We know a lot of examples of black holes with single burps emanating out, but we discovered a galaxy with a supermassive black hole that has not one but two burps." [The Strangest Black Holes in the Universe]Supermassive black holes that lurk at the center of galaxies can have masses ranging from a million to a billion times that of the sun. Although they often lie relatively dormant, they can snap into action when gas comes near, sucking it inward and blasting out some high-energy particles in the process — the "burp." (Note that those particles come from near the black hole's event horizon, but not within its point of no return.)The supermassive black hole in question lies at the center of a galaxy called SDSS J1354+1327, about 800 million light-years from Earth, and it seems to be making meals of gas released by a companion galaxy. Comerford's team combined images from the Chandra X-ray Observatory and the Hubble Space Telescope to pinpoint the black hole (in X-ray) and two emerging bubbles of gas shocked into motion by the fast-moving particles: one above, and one below. The older burp happened earlier, and the bubble has had time to expand 30,000 light-years from the black hole, Comerford said. The newer burp, by contrast, appears as just a little loop that's made it 3,000 light-years from the black hole."This new burp is actually moving like a shock wave — it's coming out very fast, and so it's kind of like a sonic boom of a burp," Comerford said, "whereas the gas to the south shows us an older burp that happens 100,000 years earlier before that newer burp."Theory held that supermassive black holes would go through a cycle of feasting, burping and then napping for a while, Comerford said, and spotting these belches helps set a pace for that process. While two burps 100,000 years apart may seem like a pretty slow metabolism, it's very fast on cosmic scales.The pace matched computer models of how those interactions would work, Comerford added. In the video below, for instance, from work by Jared Gabor and Frédéric Bournaud of CEA Saclay in France, you're watching a galaxy from the side as burps emerge above and below it.The black hole Comerford imaged is getting its fuel from a companion galaxy next door — the two are exchanging a stream of stars and gas after recently colliding.Closer to home, there's evidence that the black hole at the center of the Milky Way burped as well, at least once: In 2010, researchers found bubbles of gas expanding outward from the galactic core, from an event millions of years ago. The pace of such burps suggests that the Milky Way will indeed burp again someday."Right now, our galaxy's supermassive black hole is firmly in the nap phase of the feast-burp-nap cycle, but it's just waiting for its next meal to come along," Comerford said. "In the future, it will probably feast and burp once again."But that galactic burp is nothing to worry about, she told Space.com. "If our Milky Way's black hole became active again, we are far enough away from it that we would be fine," Comerford said. "If our solar system was very close to the black hole, though, we'd be fried."	podobne	2001,2002,2003,2004,2005,2006,2007,2008,2009
